RAdeg,DEdeg
29.212,-0.76
29.32,-0.885
29.356,-0.854
29.274,-0.875
29.305,-0.988
29.221,-0.773
29.21,0.886
29.222,0.905
29.14,0.964
29.222,0.737
29.23,0.766
334.513,0.08
334.591,0.244
334.497,0.425
334.595,0.268
334.371,0.334
334.558,0.273
334.304,0.412
334.446,0.441
334.423,0.097
334.438,0.413
334.457,0.113
334.265,0.46
334.273,0.455
334.206,0.453
334.289,0.385
334.58,0.389
334.287,0.455
334.227,0.405
334.398,0.164
334.039,0.189
334.295,0.048
334.131,0.242
334.207,0.253
334.167,0.272
334.149,0.151
334.13,0.196
334.113,0.234
5.71,0.509
5.878,0.269
5.877,0.263
5.875,0.393
5.549,0.331
5.884,0.442
5.55,0.305
5.504,0.305
5.604,0.337
5.926,0.347
5.595,0.337
5.706,0.338
5.647,0.343
5.729,0.349
5.7,0.35
5.658,0.361
5.621,0.39
5.619,0.251
5.651,0.409
5.629,0.411
5.746,0.424
5.672,0.426
5.632,0.427
5.636,0.451
5.668,0.233
5.606,0.249
5.639,0.252
5.703,0.255
5.598,0.268
5.642,0.269
5.603,0.278
5.714,0.29
5.684,0.297
5.601,0.298
5.674,0.303
5.579,0.309
5.556,0.332
5.541,0.275
5.707,0.345
5.531,0.386
5.547,0.401
5.715,0.424
5.668,0.43
5.624,0.211
5.722,0.283
5.57,0.219
5.644,0.221
5.71,0.222
5.734,0.257
5.549,0.31
5.745,0.299
5.755,0.321
5.627,0.46
5.668,0.475
5.688,0.306
5.595,0.181
5.623,0.199
5.49,0.316
5.689,0.489
5.685,0.307
5.651,0.494
5.765,0.378
5.477,0.387
5.8,0.43
5.56,0.183
5.65,0.314
5.798,0.26
5.798,0.446
5.674,0.474
5.712,0.49
5.537,0.366
5.808,0.462
5.73,0.319
7.898,0.715
7.848,0.741
7.908,0.53
7.965,0.543
7.909,0.559
7.881,0.572
7.898,0.573
7.853,0.585
7.859,0.474
358.226,-0.653
358.133,-0.25
358.356,-0.363
358.257,-0.51
358.181,-0.476
358.258,-0.53
9.255,-1.077
9.365,-1.252
9.337,-1.309
9.319,-1.31
9.366,-1.302
9.333,-1.297
9.297,-1.182
9.224,-1.106
9.372,-1.397
9.227,-1.129
9.267,-1.152
9.267,-1.151
9.302,-1.143
9.276,-1.126
9.226,-1.12
36.09,0.066
36.135,-0.099
36.155,-0.083
36.13,-0.122
36.006,-0.087
36.139,-0.068
36.117,-0.068
36.12,-0.062
36.177,-0.059
36.179,-0.057
36.119,-0.055
36.175,-0.045
36.109,-0.032
36.184,-0.168
36.159,0.003
36.168,0.011
36.159,-0.183
36.147,-0.176
36.139,-0.149
36.182,-0.142
36.191,-0.133
36.18,-0.124
36.148,-0.117
36.12,-0.123
36.162,-0.002
36.098,0.016
36.128,0.037
36.177,-0.192
36.199,-0.185
36.244,-0.182
36.203,-0.14
36.203,-0.121
36.063,0.026
36.076,0.064
36.2,-0.15
36.069,0.023
